,x (Ams),y (Ams),z (Ams),A (kHz),B (kHz)
143,-2.29685,-6.89055,7.39675,15.164523752509023,19.28838877251397
144,-2.29685,6.89055,-7.39675,15.164523752509023,19.28838877251397
145,-2.29685,6.89055,7.39675,15.164523752509023,19.28838877251397
146,2.29685,-6.89055,-7.39675,15.164523752509023,19.28838877251397
147,2.29685,-6.89055,7.39675,15.164523752509023,19.28838877251397
148,2.29685,6.89055,-7.39675,15.164523752509023,19.28838877251397
149,2.29685,6.89055,7.39675,15.164523752509023,19.28838877251397
150,6.89055,-2.29685,-7.39675,15.164523752509023,19.28838877251397
151,6.89055,-2.29685,7.39675,15.164523752509023,19.28838877251397
152,6.89055,2.29685,-7.39675,15.164523752509023,19.28838877251397
153,6.89055,2.29685,7.39675,15.164523752509023,19.28838877251397
154,-9.1874,-4.5937,-2.9587,20.20198474796231,9.360163073969629
155,-9.1874,-4.5937,2.9587,20.20198474796231,9.360163073969629
156,-9.1874,4.5937,-2.9587,20.20198474796231,9.360163073969629
157,-9.1874,4.5937,2.9587,20.20198474796231,9.360163073969629
158,-4.5937,-9.1874,-2.9587,20.20198474796231,9.360163073969629
159,-4.5937,-9.1874,2.9587,20.20198474796231,9.360163073969629
160,-4.5937,9.1874,-2.9587,20.20198474796231,9.360163073969629
161,-4.5937,9.1874,2.9587,20.20198474796231,9.360163073969629
162,4.5937,-9.1874,-2.9587,20.20198474796231,9.360163073969629
163,4.5937,-9.1874,2.9587,20.20198474796231,9.360163073969629
164,4.5937,9.1874,-2.9587,20.20198474796231,9.360163073969629
165,4.5937,9.1874,2.9587,20.20198474796231,9.360163073969629
166,9.1874,-4.5937,-2.9587,20.20198474796231,9.360163073969629
167,9.1874,-4.5937,2.9587,20.20198474796231,9.360163073969629
168,9.1874,4.5937,-2.9587,20.20198474796231,9.360163073969629
169,9.1874,4.5937,2.9587,20.20198474796231,9.360163073969629
170,-6.89055,-6.89055,-4.43805,12.647412506483334,13.206379071224749
171,-6.89055,-6.89055,4.43805,12.647412506483334,13.206379071224749
172,-6.89055,6.89055,-4.43805,12.647412506483334,13.206379071224749
173,-6.89055,6.89055,4.43805,12.647412506483334,13.206379071224749
174,6.89055,-6.89055,-4.43805,12.647412506483334,13.206379071224749
175,6.89055,-6.89055,4.43805,12.647412506483334,13.206379071224749
176,6.89055,6.89055,-4.43805,12.647412506483334,13.206379071224749
177,6.89055,6.89055,4.43805,12.647412506483334,13.206379071224749
178,-2.29685,-2.29685,-10.355450000000001,43.39067388241485,9.602629640703283
179,-2.29685,-2.29685,10.355450000000001,43.39067388241485,9.602629640703283
180,-2.29685,2.29685,-10.355450000000001,43.39067388241485,9.602629640703283
181,-2.29685,2.29685,10.355450000000001,43.39067388241485,9.602629640703283
182,2.29685,-2.29685,-10.355450000000001,43.39067388241485,9.602629640703283
183,2.29685,-2.29685,10.355450000000001,43.39067388241485,9.602629640703283
184,2.29685,2.29685,-10.355450000000001,43.39067388241485,9.602629640703283
185,2.29685,2.29685,10.355450000000001,43.39067388241485,9.602629640703283
186,-9.1874,-0.0,-5.9174,2.9554051823447973,14.993614839958429
187,-9.1874,0.0,5.9174,2.9554051823447973,14.993614839958429
188,-0.0,-9.1874,-5.9174,2.9554051823447973,14.993614839958429
189,-0.0,-9.1874,5.9174,2.9554051823447973,14.993614839958429
190,0.0,9.1874,-5.9174,2.9554051823447973,14.993614839958429
191,0.0,9.1874,5.9174,2.9554051823447973,14.993614839958429
192,9.1874,-0.0,-5.9174,2.9554051823447973,14.993614839958429
193,9.1874,0.0,5.9174,2.9554051823447973,14.993614839958429
194,-4.5937,-4.5937,-8.8761,22.955455532277135,15.393720900854921
195,-4.5937,-4.5937,8.8761,22.955455532277135,15.393720900854921
196,-4.5937,4.5937,-8.8761,22.955455532277135,15.393720900854921
197,-4.5937,4.5937,8.8761,22.955455532277135,15.393720900854921
198,4.5937,-4.5937,-8.8761,22.955455532277135,15.393720900854921
199,4.5937,-4.5937,8.8761,22.955455532277135,15.393720900854921
200,4.5937,4.5937,-8.8761,22.955455532277135,15.393720900854921
201,4.5937,4.5937,8.8761,22.955455532277135,15.393720900854921
202,-11.48425,-2.29685,-1.47935,18.558642773991398,3.2487670497510233
203,-11.48425,-2.29685,1.47935,18.558642773991398,3.2487670497510233
204,-11.48425,2.29685,-1.47935,18.558642773991398,3.2487670497510233
205,-11.48425,2.29685,1.47935,18.558642773991398,3.2487670497510233
206,-2.29685,-11.48425,-1.47935,18.558642773991398,3.2487670497510233
207,-2.29685,-11.48425,1.47935,18.558642773991398,3.2487670497510233
208,-2.29685,11.48425,-1.47935,18.558642773991398,3.2487670497510233
209,-2.29685,11.48425,1.47935,18.558642773991398,3.2487670497510233
210,2.29685,-11.48425,-1.47935,18.558642773991398,3.2487670497510233
211,2.29685,-11.48425,1.47935,18.558642773991398,3.2487670497510233
212,2.29685,11.48425,-1.47935,18.558642773991398,3.2487670497510233
