,x (Ams),y (Ams),z (Ams),A (kHz),B (kHz)
65,5.2429,2.62145,-8.530275,14.241007158620391,4.2708377703008
66,-7.86435,-7.86435,0.0,1.0688894610116904,14.818364838165271
67,7.86435,-7.86435,0.0,1.0688894610116904,14.818364838165271
68,-7.86435,7.86435,0.0,1.0688894610116904,14.818364838165271
69,7.86435,7.86435,0.0,1.0688894610116904,14.818364838165271
70,-10.4858,-2.62145,2.843425,1.5979949761043928,17.380288493885704
71,-10.4858,2.62145,2.843425,1.5979949761043928,17.380288493885704
72,-2.62145,-10.4858,-2.843425,1.4775622084049918,9.990368035575266
73,-2.62145,10.4858,-2.843425,1.4775622084049918,9.990368035575266
74,2.62145,-10.4858,-2.843425,4.659683888000114,8.749171888845396
75,2.62145,10.4858,-2.843425,4.659683888000114,8.749171888845396
76,10.4858,-2.62145,2.843425,11.130491742276096,13.987855203950156
77,10.4858,2.62145,2.843425,11.130491742276096,13.987855203950156
78,-7.86435,0.0,8.530275,10.512432917793115,6.355620610923898
79,0.0,-7.86435,-8.530275,2.534771353386894,7.9146199700322235
80,0.0,7.86435,-8.530275,2.534771353386894,7.9146199700322235
81,7.86435,0.0,8.530275,13.240755868464545,0.6887367975689799
82,-10.4858,0.0,-5.68685,12.482397483436644,6.75150560793013
83,-10.4858,0.0,5.68685,5.8973041367913925,12.20227638398898
84,0.0,-10.4858,-5.68685,2.741272421374471,7.124708924757232
85,0.0,-10.4858,5.68685,2.741272421374471,7.124708924757232
86,0.0,10.4858,-5.68685,2.741272421374471,7.124708924757232
87,0.0,10.4858,5.68685,2.741272421374471,7.124708924757232
88,10.4858,0.0,-5.68685,5.8973041367913925,12.20227638398898
89,10.4858,0.0,5.68685,12.482397483436644,6.75150560793013
90,-2.62145,-2.62145,11.3737,6.000428997728628,5.058002144300107
91,-2.62145,2.62145,11.3737,6.000428997728628,5.058002144300107
92,2.62145,-2.62145,11.3737,3.0594891740823176,7.803086166952641
93,2.62145,2.62145,11.3737,3.0594891740823176,7.803086166952641
94,-2.62145,-2.62145,-11.3737,3.0594891740823176,7.803086166952641
95,-2.62145,2.62145,-11.3737,3.0594891740823176,7.803086166952641
96,2.62145,-2.62145,-11.3737,6.000428997728628,5.058002144300107
97,2.62145,2.62145,-11.3737,6.000428997728628,5.058002144300107
98,-5.2429,-7.86435,-8.530275,4.048097835726508,6.855500655738586
99,5.2429,-7.86435,-8.530275,5.9033149618882135,4.543756147839377
100,-7.86435,-5.2429,8.530275,7.029951273813128,5.386236994916687
101,-7.86435,5.2429,8.530275,7.029951273813128,5.386236994916687
102,-5.2429,7.86435,-8.530275,4.048097835726508,6.855500655738586
103,5.2429,7.86435,-8.530275,5.9033149618882135,4.543756147839377
104,7.86435,-5.2429,8.530275,7.897167922608967,5.2822068746839745
105,7.86435,5.2429,8.530275,7.897167922608967,5.2822068746839745
106,-10.4858,-5.2429,-5.68685,7.649253860218703,6.811122978615198
107,-10.4858,-5.2429,5.68685,4.169553854862865,8.875530591708358
108,-10.4858,5.2429,-5.68685,7.649253860218703,6.811122978615198
109,-10.4858,5.2429,5.68685,4.169553854862865,8.875530591708358
110,-5.2429,-10.4858,-5.68685,1.7845802759783236,7.060656010165419
111,-5.2429,-10.4858,5.68685,4.1248235815624605,5.626036914988487
112,-5.2429,10.4858,-5.68685,1.7845802759783236,7.060656010165419
113,-5.2429,10.4858,5.68685,4.1248235815624605,5.626036914988487
114,5.2429,-10.4858,-5.68685,4.1248235815624605,5.626036914988487
115,5.2429,-10.4858,5.68685,1.7845802759783236,7.060656010165419
116,5.2429,10.4858,-5.68685,4.1248235815624605,5.626036914988487
117,5.2429,10.4858,5.68685,1.7845802759783236,7.060656010165419
118,10.4858,-5.2429,-5.68685,4.169553854862865,8.875530591708358
119,10.4858,-5.2429,5.68685,7.649253860218703,6.811122978615198
120,10.4858,5.2429,-5.68685,4.169553854862865,8.875530591708358
